MATRICULA,SIT._LIG_AGUA,SIT._LIG_ESGOTO,NUMERO_HIDROMETRO,TIPO_HIDROMETRO,MARCA_HIDROMETRO,CAPACIDADE_HIDROMETRO,DIAMETRO_HIDROMETRO,CLASSE_METROLOGICA,DATA_INSTALACAO_HIDROMETRO,CATEGORIA_PRINCIPAL,NUMERO_ECONOMIAS_RES,NUMERO_ECONOMIAS_COM,NUMERO_ECONOMIAS_IND,NUMERO_ECONOMIAS_PUB,VOLUME_LIDO,VOLUME_REAL,VOLUME_FATURADO,VALOR_AGUA,VALOR_ESGOTO,VALOR_SERVICOS,VALOR_IMPOSTOS,VALOR_DESCONTOS,VALOR_TOTAL,VOLUME_LIDO_01,VOLUME_REAL_01,VOLUME_FATURADO_01,VALOR_AGUA_01,VALOR_ESGOTO_01,VALOR_SERVICOS_01,VALOR_IMPOSTOS_01,VALOR_DESCONTOS_01,VALOR_TOTAL_01,VOLUME_LIDO_02,VOLUME_REAL_02,VOLUME_FATURADO_02,VALOR_AGUA_02,VALOR_ESGOTO_02,VALOR_SERVICOS_02,VALOR_IMPOSTOS_02,VALOR_DESCONTOS_02,VALOR_TOTAL_02,VOLUME_LIDO_03,VOLUME_REAL_03,VOLUME_FATURADO_03,VALOR_AGUA_03,VALOR_ESGOTO_03,VALOR_SERVICOS_03,VALOR_IMPOSTOS_03,VALOR_DESCONTOS_03,VALOR_TOTAL_03,VOLUME_LIDO_04,VOLUME_REAL_04,VOLUME_FATURADO_04,VALOR_AGUA_04,VALOR_ESGOTO_04,VALOR_SERVICOS_04,VALOR_IMPOSTOS_04,VALOR_DESCONTOS_04,VALOR_TOTAL_04,VOLUME_LIDO_05,VOLUME_REAL_05,VOLUME_FATURADO_05,VALOR_AGUA_05,VALOR_ESGOTO_05,VALOR_SERVICOS_05,VALOR_IMPOSTOS_05,VALOR_DESCONTOS_05,VALOR_TOTAL_05,VOLUME_LIDO_06,VOLUME_REAL_06,VOLUME_FATURADO_06,VALOR_AGUA_06,VALOR_ESGOTO_06,VALOR_SERVICOS_06,VALOR_IMPOSTOS_06,VALOR_DESCONTOS_06,VALOR_TOTAL_06,VOLUME_LIDO_07,VOLUME_REAL_07,VOLUME_FATURADO_07,VALOR_AGUA_07,VALOR_ESGOTO_07,VALOR_SERVICOS_07,VALOR_IMPOSTOS_07,VALOR_DESCONTOS_07,VALOR_TOTAL_07,VOLUME_LIDO_08,VOLUME_REAL_08,VOLUME_FATURADO_08,VALOR_AGUA_08,VALOR_ESGOTO_08,VALOR_SERVICOS_08,VALOR_IMPOSTOS_08,VALOR_DESCONTOS_08,VALOR_TOTAL_08,VOLUME_LIDO_09,VOLUME_REAL_09,VOLUME_FATURADO_09,VALOR_AGUA_09,VALOR_ESGOTO_09,VALOR_SERVICOS_09,VALOR_IMPOSTOS_09,VALOR_DESCONTOS_09,VALOR_TOTAL_09,VOLUME_LIDO_10,VOLUME_REAL_10,VOLUME_FATURADO_10,VALOR_AGUA_10,VALOR_ESGOTO_10,VALOR_SERVICOS_10,VALOR_IMPOSTOS_10,VALOR_DESCONTOS_10,VALOR_TOTAL_10,VOLUME_LIDO_11,VOLUME_REAL_11,VOLUME_FATURADO_11,VALOR_AGUA_11,VALOR_ESGOTO_11,VALOR_SERVICOS_11,VALOR_IMPOSTOS_11,VALOR_DESCONTOS_11,VALOR_TOTAL_11,VOLUME_LIDO_12,VOLUME_REAL_12,VOLUME_FATURADO_12,VALOR_AGUA_12,VALOR_ESGOTO_12,VALOR_SERVICOS_12,VALOR_IMPOSTOS_12,VALOR_DESCONTOS_12,VALOR_TOTAL_12,CAPACIDADE_HIDROMETRO_NUM,DATA_INSTALACAO_HIDROMETRO_DT,IDADE_HIDRO_ANOS,RECEITA_TOTAL_12M,VOLUME_TOTAL_12M,MESES_DADOS_AUSENTES,MESES_CONSUMO_ZERO,DIVERGENCIA_VOL,FLAG_ANOMALIA_LEITURA,FLAG_SEM_HIDROMETRO,FLAG_CONSUMO_ZERO,MEDIA_VOL_12M,STD_VOL_12M,FLAG_OUTLIER_EXTREMO,FLAG_DADOS_INCOMPLETOS,SCORE_PRIORIDADE,RECEITA_POTENCIAL_SUBMED,FLAG_CONSUMO_CONSTANTE,FLAG_CONSUMO_IMPLAUSIVEL,VALOR_TOTAL_CALCULADO,DIFERENCA_FATURAMENTO,FLAG_INCONSIST_FATURAMENTO,FLAG_FATURADO_MENOR_REAL,FLAG_VOLUME_LIDO_NEGATIVO,FLAG_VOLUME_REAL_NEGATIVO,FLAG_VOLUME_FATURADO_NEGATIVO,FLAG_VALOR_AGUA_NEGATIVO,FLAG_VALOR_ESGOTO_NEGATIVO,FLAG_VALOR_SERVICOS_NEGATIVO,FLAG_VALOR_IMPOSTOS_NEGATIVO,FLAG_VALOR_DESCONTOS_NEGATIVO,FLAG_VALOR_TOTAL_NEGATIVO,FLAG_VOLUME_NEGATIVO,FLAG_VALOR_NEGATIVO,FLAG_ATIVA_SEM_RECEITA,FLAG_SEM_CATEGORIA,FLAG_DATA_INVALIDA,TOTAL_ECONOMIAS,FLAG_ZERO_ECONOMIAS,FLAG_REAL_MAIOR_LIDO
1209537-0,ATIVA,ATIVA,Y22S490239,UNIJATO,MARCA A,"1,6",3/4,CLASSE B,20/02/2024,RESIDENCIAL,1.0,0.0,0.0,0.0,3.0,3.0,10.0,51.77,41.42,2.74,0.0,0.0,95.93,17.0,17.0,17.0,118.48,94.78,0.0,0.0,0.0,213.26,12.0,12.0,12.0,70.83,56.66,5.16,0.0,0.0,132.65,14.0,14.0,14.0,89.89,71.91,1.81,0.0,0.0,163.61,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,8.0,8.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,10.0,10.0,10.0,49.46,39.57,1.85,0.0,0.0,90.88,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,10.0,10.0,10.0,49.46,39.57,1.9,0.0,0.0,90.93,9.0,9.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,8.0,8.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,1.6,2024-02-20,2.2313483915126624,1459.61,146.0,0,0,0.0,False,False,False,10.307692307692308,3.301126458867624,False,False,0,172.674,False,False,95.92999999999999,1.4210854715202004e-14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1209552-4,ATIVA,ATIVA,Y21S226374,UNIJATO,MARCA A,"1,6",3/4,CLASSE B,19/10/2021,RESIDENCIAL,1.0,0.0,0.0,0.0,6.0,6.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,5.0,5.0,10.0,51.77,41.42,2.94,0.0,0.0,96.13,6.0,6.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,2.0,2.0,10.0,51.77,41.42,63.68,0.0,0.0,156.87,5.0,5.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,6.0,6.0,10.0,49.46,39.57,80.1,0.0,0.0,169.13,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,1.6,2021-10-19,4.569472963723477,697.54,60.0,0,7,0.0,False,False,False,2.3076923076923075,2.780426087988895,False,False,20,167.742,False,False,93.19,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1210192-3,ATIVA,ATIVA,A21AA0175469,MULTIJATO,MARCA A,"1,5",3/4,CLASSE B,14/05/2024,RESIDENCIAL,1.0,0.0,0.0,0.0,21.0,21.0,21.0,156.6,125.28,0.0,0.0,0.0,281.88,28.0,28.0,28.0,234.44,187.55,0.0,0.0,0.0,421.99,34.0,34.0,34.0,313.88,251.1,0.0,0.0,0.0,564.98,29.0,29.0,29.0,247.68,198.14,0.0,0.0,0.0,445.82,28.0,28.0,28.0,223.91,179.13,0.0,0.0,0.0,403.04,29.0,29.0,29.0,236.56,189.25,0.0,0.0,0.0,425.81,26.0,26.0,26.0,198.61,158.89,0.0,0.0,0.0,357.5,34.0,34.0,34.0,299.81,239.85,0.0,0.0,0.0,539.66,34.0,34.0,34.0,299.81,239.85,0.0,0.0,0.0,539.66,27.0,27.0,27.0,211.26,169.01,0.0,0.0,0.0,380.27,32.0,32.0,32.0,274.51,219.61,0.0,0.0,0.0,494.12,26.0,26.0,26.0,198.61,158.89,0.0,0.0,0.0,357.5,28.0,28.0,28.0,223.91,179.13,0.0,0.0,0.0,403.04,1.5,2024-05-14,2.001368925393566,5615.2699999999995,376.0,0,0,0.0,False,False,False,28.923076923076923,3.7960843523631573,False,False,0,507.38399999999996,False,False,281.88,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1210205-9,ATIVA,ATIVA,A23AA0210661,MULTIJATO,MARCA A,"1,5",3/4,CLASSE B,21/02/2024,RESIDENCIAL,1.0,0.0,0.0,0.0,30.0,30.0,30.0,260.92,208.74,0.0,0.0,0.0,469.66,20.0,20.0,20.0,147.07,117.66,15.59,0.0,0.0,280.32,26.0,26.0,26.0,207.96,166.37,0.0,0.0,0.0,374.33,35.0,35.0,35.0,327.12,261.7,0.0,0.0,0.0,588.82,22.0,22.0,22.0,158.66,126.93,168.83,0.0,0.0,454.42,27.0,27.0,27.0,211.26,169.01,0.0,0.0,0.0,380.27,32.0,32.0,32.0,274.51,219.61,0.0,0.0,0.0,494.12,28.0,28.0,28.0,223.91,179.13,0.0,0.0,0.0,403.04,25.0,25.0,25.0,185.96,148.77,0.0,0.0,0.0,334.73,17.0,17.0,17.0,113.16,90.53,34.57,0.0,0.0,238.26,19.0,19.0,19.0,131.36,105.09,35.33,0.0,0.0,271.78,31.0,31.0,31.0,261.86,209.49,0.0,0.0,0.0,471.35,26.0,26.0,26.0,198.61,158.89,0.0,0.0,0.0,357.5,1.5,2024-02-21,2.2286105407255303,5118.6,338.0,0,0,0.0,False,False,False,26.0,5.369667897862337,False,False,0,845.3879999999999,False,False,469.66,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1210231-8,ATIVA,ATIVA,A16B069097,ULTRASSONICO,MARCA B,"1,5",3/4,CLASSE C,07/03/2017,RESIDENCIAL,30.0,0.0,0.0,0.0,206.0,206.0,300.0,1553.1,1242.48,0.0,0.0,0.0,2795.58,213.0,213.0,300.0,1553.1,1242.48,0.0,0.0,0.0,2795.58,217.0,217.0,300.0,1553.1,1242.48,0.0,0.0,0.0,2795.58,280.0,280.0,300.0,1553.1,1242.48,0.0,0.0,0.0,2795.58,188.0,188.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,191.0,191.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,238.0,238.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,169.0,169.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,136.0,136.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,115.0,115.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,114.0,114.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,153.0,153.0,400.0,1978.4,1582.72,0.0,0.0,0.0,3561.12,159.0,159.0,400.0,1978.4,1582.72,0.0,0.0,0.0,3561.12,1.5,2017-03-07,9.188227241615332,37000.44,4100.0,0,0,0.0,False,False,False,183.0,48.62612466565683,False,False,10,5032.044,False,False,2795.58,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30.0,False,False
1211680-7,ATIVA,ATIVA,Y24L183775,UNIJATO,MARCA C,"1,6",3/4,CLASSE A,19/05/2025,INDUSTRIAL,0.0,0.0,1.0,0.0,7.0,7.0,10.0,76.82,61.46,2.88,0.0,0.0,141.16,4.0,4.0,10.0,76.82,61.46,2.91,0.0,0.0,141.19,7.0,7.0,10.0,76.82,61.46,3.26,0.0,0.0,141.54,10.0,10.0,10.0,76.82,61.46,2.79,0.0,0.0,141.07,10.0,10.0,10.0,73.39,58.71,0.0,0.0,0.0,132.1,8.0,8.0,10.0,73.39,58.71,3.04,0.0,0.0,135.14,9.0,9.0,10.0,73.39,58.71,3.66,0.0,0.0,135.76,7.0,7.0,10.0,73.39,58.71,3.94,0.0,0.0,136.04,11.0,11.0,11.0,85.18,68.14,3.44,0.0,0.0,156.76,12.0,12.0,12.0,96.97,77.58,4.68,0.0,0.0,179.23,11.0,11.0,11.0,85.18,68.14,3.29,0.0,0.0,156.61,14.0,14.0,14.0,120.55,96.44,5.87,0.0,0.0,222.86,9.0,9.0,10.0,73.39,58.71,4.85,0.0,0.0,136.95,1.6,2025-05-19,0.9883641341546886,1956.41,138.0,0,0,0.0,False,False,False,9.153846153846153,2.6091554778687125,False,False,0,254.088,False,False,141.16,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1213365-5,CANCELADA,CANCELADA,,,,,nan,,,RESIDENCIAL,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,49.46,39.57,0.0,0.0,4.2,84.83,0.0,0.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,0.0,0.0,10.0,49.46,39.57,0.0,0.0,89.03,0.0,0.0,0.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,2.0,2.0,10.0,49.46,39.57,4.2,0.0,0.0,93.23,2.0,2.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,,,,445.15,60.0,7,10,0.0,False,False,False,2.3333333333333335,3.8815804341359033,False,True,20,0.0,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False
1213368-0,ATIVA,ATIVA,Y19S042835,UNIJATO,MARCA D,"1,6",3/4,CLASSE B,08/11/2019,RESIDENCIAL,1.0,0.0,0.0,0.0,10.0,10.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,11.0,11.0,11.0,61.3,49.04,0.0,0.0,0.0,110.34,12.0,12.0,12.0,70.83,56.66,0.0,0.0,0.0,127.49,12.0,12.0,12.0,70.83,56.66,0.0,0.0,0.0,127.49,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,9.0,9.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,15.0,15.0,15.0,94.96,75.97,0.0,0.0,0.0,170.93,19.0,19.0,19.0,131.36,105.09,0.0,0.0,0.0,236.45,14.0,14.0,14.0,85.86,68.69,2.08,0.0,0.0,156.63,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,8.0,8.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,1.6,2019-11-08,6.5160848733744015,1605.84,156.0,0,0,0.0,False,False,False,11.76923076923077,2.8911890908369102,False,False,10,167.742,False,False,93.19,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1213369-8,ATIVA,ATIVA,Y21S506098,UNIJATO,MARCA A,"1,6",3/4,CLASSE B,17/07/2023,RESIDENCIAL,1.0,0.0,0.0,0.0,17.0,17.0,17.0,118.48,94.78,0.0,0.0,0.0,213.26,20.0,20.0,20.0,147.07,117.66,0.0,0.0,0.0,264.73,10.0,10.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,2.0,2.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,6.0,6.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,14.0,14.0,14.0,85.86,68.69,0.0,0.0,0.0,154.55,27.0,27.0,27.0,211.26,169.01,0.0,0.0,0.0,380.27,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,14.0,14.0,14.0,85.86,68.69,0.0,0.0,0.0,154.55,30.0,30.0,30.0,249.21,199.37,0.0,0.0,0.0,448.58,17.0,17.0,17.0,113.16,90.53,0.0,0.0,0.0,203.69,15.0,15.0,15.0,94.96,75.97,0.0,0.0,0.0,170.93,5.0,5.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,1.6,2023-07-17,2.8281998631074607,2476.79,206.0,0,0,0.0,False,False,False,14.538461538461538,8.089245789064481,False,False,0,383.86799999999994,False,False,213.26,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1213381-7,ATIVA,ATIVA,Y22S490451,UNIJATO,MARCA A,"1,6",3/4,CLASSE B,27/03/2024,RESIDENCIAL,1.0,0.0,0.0,0.0,12.0,12.0,12.0,70.83,56.66,0.0,0.0,0.0,127.49,10.0,10.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,11.0,11.0,11.0,61.3,49.04,0.0,0.0,0.0,110.34,15.0,15.0,15.0,99.42,79.54,0.0,0.0,0.0,178.96,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,13.0,13.0,13.0,76.76,61.41,3.81,0.0,0.0,141.98,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,14.0,14.0,14.0,85.86,68.69,0.0,0.0,0.0,154.55,13.0,13.0,13.0,76.76,61.41,0.0,0.0,0.0,138.17,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,1.6,2024-03-27,2.132785763175907,1609.9,156.0,0,0,0.0,False,False,False,12.0,1.4719601443879744,False,False,0,229.482,False,False,127.49,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1215701-5,ATIVA,ATIVA,Y24L094694,UNIJATO,MARCA C,"1,6",3/4,CLASSE A,16/07/2025,RESIDENCIAL,1.0,0.0,0.0,0.0,0.0,0.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,0.0,0.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,1.0,1.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,0.0,0.0,10.0,51.77,41.42,52.76,0.0,0.0,145.95,0.0,0.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,0.0,0.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,1.0,1.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,64.0,64.0,64.0,721.17,576.94,0.0,0.0,0.0,1298.11,1.0,1.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,1.0,1.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,1.0,1.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,1.0,1.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,0.0,0.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,1.6,2025-07-16,0.8295687885010267,2435.870000000001,184.0,0,6,0.0,False,False,True,5.384615384615385,17.618827342450373,False,False,50,167.742,False,False,93.19,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1215707-4,ATIVA,ATIVA,Y19S042739,UNIJATO - PRE EQUIPADO,MARCA D,"1,6",3/4,CLASSE B,22/01/2020,RESIDENCIAL,1.0,0.0,0.0,0.0,17.0,17.0,17.0,118.48,94.78,0.0,0.0,0.0,213.26,13.0,13.0,13.0,80.36,64.29,0.0,0.0,0.0,144.65,17.0,17.0,17.0,118.48,94.78,5.37,0.0,0.0,218.63,19.0,19.0,19.0,137.54,110.03,13.88,0.0,0.0,261.45,13.0,13.0,13.0,76.76,61.41,0.0,0.0,0.0,138.17,16.0,16.0,16.0,104.06,83.25,0.0,0.0,0.0,187.31,17.0,17.0,17.0,113.16,90.53,0.0,0.0,0.0,203.69,15.0,15.0,15.0,94.96,75.97,0.0,0.0,0.0,170.93,14.0,14.0,14.0,85.86,68.69,0.0,0.0,0.0,154.55,13.0,13.0,13.0,76.76,61.41,21.87,0.0,0.0,160.04,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,16.0,16.0,16.0,104.06,83.25,0.0,0.0,0.0,187.31,14.0,14.0,14.0,85.86,68.69,0.0,0.0,0.0,154.55,1.6,2020-01-22,6.310746064339494,2299.9500000000003,195.0,0,0,0.0,False,False,False,15.0,2.23606797749979,False,False,10,383.86799999999994,False,False,213.26,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1215712-0,ATIVA,ATIVA,Y22S490032,UNIJATO,MARCA A,"1,6",3/4,CLASSE B,20/12/2023,RESIDENCIAL,1.0,0.0,0.0,0.0,4.0,4.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,4.0,4.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,2.0,2.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,2.0,2.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,4.0,4.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,5.0,5.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,3.0,3.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,4.0,4.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,3.0,3.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,3.0,3.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,4.0,4.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,3.0,3.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,3.0,3.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,1.6,2023-12-20,2.401095140314853,1174.0299999999997,130.0,0,0,0.0,False,False,False,3.3846153846153846,0.869718492622904,False,False,0,167.742,False,False,93.19,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1215716-3,ATIVA,ATIVA,Y19S043444,UNIJATO,MARCA D,"1,6",3/4,CLASSE B,13/09/2019,RESIDENCIAL,1.0,0.0,0.0,0.0,17.0,17.0,17.0,118.48,94.78,4.85,0.0,0.0,218.11,14.0,14.0,14.0,89.89,71.91,4.56,0.0,0.0,166.36,14.0,14.0,14.0,89.89,71.91,3.55,0.0,0.0,165.35,17.0,17.0,17.0,118.48,94.78,3.65,0.0,0.0,216.91,14.0,14.0,14.0,85.86,68.69,4.48,0.0,0.0,159.03,15.0,15.0,15.0,94.96,75.97,0.0,0.0,0.0,170.93,17.0,17.0,17.0,113.16,90.53,6.48,0.0,0.0,210.17,15.0,15.0,15.0,94.96,75.97,0.0,0.0,0.0,170.93,17.0,17.0,17.0,113.16,90.53,2.18,0.0,0.0,205.87,17.0,17.0,17.0,113.16,90.53,3.19,0.0,0.0,206.88,15.0,15.0,15.0,94.96,0.0,2.31,0.0,0.0,97.27,20.0,20.0,20.0,140.46,0.0,2.69,0.0,0.0,143.15,16.0,16.0,16.0,104.06,0.0,2.3,0.0,0.0,106.36,1.6,2019-09-13,6.669404517453799,2237.3200000000006,208.0,0,0,0.0,False,False,False,16.0,1.7320508075688772,False,False,10,392.59800000000007,False,False,218.10999999999999,2.842170943040401e-14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1217395-9,ATIVA,ATIVA,Y24L183803,UNIJATO,MARCA C,"1,6",3/4,CLASSE A,17/04/2025,RESIDENCIAL,1.0,0.0,0.0,0.0,11.0,11.0,11.0,61.3,49.04,0.0,0.0,0.0,110.34,8.0,8.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,11.0,11.0,11.0,61.3,49.04,0.0,0.0,0.0,110.34,13.0,13.0,13.0,80.36,64.29,4.22,0.0,0.0,148.87,12.0,12.0,12.0,67.66,54.13,6.21,0.0,0.0,128.0,15.0,15.0,15.0,94.96,75.97,18.1,0.0,0.0,189.03,18.0,18.0,18.0,122.26,97.81,53.96,0.0,0.0,274.03,17.0,17.0,17.0,113.16,90.53,0.0,0.0,0.0,203.69,29.0,29.0,29.0,236.56,189.25,0.0,0.0,0.0,425.81,20.0,20.0,20.0,140.46,112.37,0.0,0.0,0.0,252.83,17.0,17.0,17.0,113.16,90.53,0.0,0.0,0.0,203.69,31.0,31.0,31.0,261.86,209.49,-243.09,0.0,0.0,228.26,999938.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,1.6,2025-04-17,1.0759753593429158,2489.87,216.0,0,0,0.0,False,False,False,76933.84615384616,277328.2337621632,False,False,0,198.61199999999997,False,False,110.34,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1217684-2,ATIVA,ATIVA,Y19S048527,UNIJATO - PRE EQUIPADO,MARCA D,"1,6",3/4,CLASSE B,27/06/2019,RESIDENCIAL,1.0,0.0,0.0,0.0,20.0,20.0,20.0,147.07,117.66,18.93,0.0,0.0,283.66,16.0,16.0,16.0,108.95,87.16,17.24,0.0,0.0,213.35,17.0,17.0,17.0,118.48,94.78,9.84,0.0,0.0,223.1,23.0,23.0,23.0,175.66,140.53,0.0,0.0,0.0,316.19,19.0,19.0,19.0,131.36,105.09,11.21,0.0,0.0,247.66,17.0,17.0,17.0,113.16,90.53,7.79,0.0,0.0,211.48,18.0,18.0,18.0,122.26,97.81,7.11,0.0,0.0,227.18,21.0,21.0,21.0,149.56,119.65,9.01,0.0,0.0,278.22,17.0,17.0,17.0,113.16,90.53,7.05,0.0,0.0,210.74,15.0,15.0,15.0,94.96,75.97,12.89,0.0,0.0,183.82,18.0,18.0,18.0,122.26,97.81,15.16,0.0,0.0,235.23,17.0,17.0,17.0,113.16,90.53,0.0,0.0,0.0,203.69,26.0,26.0,26.0,198.61,158.89,11.04,0.0,0.0,368.54,1.6,2019-06-27,6.882956878850103,3202.86,244.0,0,0,0.0,False,False,False,18.76923076923077,3.0592440829352534,False,False,10,510.58799999999997,False,False,283.66,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False
1219702-5,CANCELADA,ATIVA,,,,,nan,,,RESIDENCIAL,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13,13,0.0,False,False,False,,,False,True,20,0.0,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False
